Customer_ID,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
C000001,56,939999,85424,10,5,10.5,5,"Credit Builder Loan, Home Loan, Business Loan, Personal Loan, Auto Loan",10,3,0.34,4,274231,0.13,31Y 8M,Yes,3088,0,Low,32138,Standard
C000002,69,1225203,99566,4,4,9.1,2,"Auto Loan, Credit Builder Loan",25,7,0.41,1,155703,0.16,45Y 11M,Yes,4432,13495,Medium,32967,Good
C000003,46,319640,25097,2,7,18.1,1,Auto Loan,0,0,0.5,6,24988,0.14,24Y 0M,No,279,3096,High,12467,Good
C000004,32,1088264,95960,8,7,19.0,0,None,0,0,0.07,3,57959,0.52,9Y 3M,Yes,1210,9059,Medium,42296,Good
C000005,60,835345,73242,1,2,9.5,3,"Credit Builder Loan, Home Loan, Business Loan",0,0,0.58,0,213175,0.41,37Y 7M,Yes,5213,10515,Medium,31562,Good
C000006,25,229944,17128,10,3,15.7,5,"Business Loan, Education Loan, Home Loan, Credit Builder Loan, Personal Loan",22,2,0.38,5,69517,0.35,4Y 4M,No,1045,0,Low,9566,Poor
C000007,38,1293944,112903,8,4,22.7,3,"Auto Loan, Credit Builder Loan, Home Loan",0,0,0.73,0,220986,0.85,13Y 0M,No,2635,7679,Medium,55915,Standard
C000008,56,576954,40147,2,1,19.0,5,"Business Loan, Auto Loan, Education Loan, Home Loan, Credit Builder Loan",0,0,0.23,6,170289,0.53,35Y 7M,Yes,4490,0,High,8596,Good
C000009,36,698492,62521,9,2,18.8,1,Business Loan,0,0,0.78,4,100907,0.81,14Y 11M,Yes,2544,0,Medium,29558,Good
C000010,40,1146325,104440,4,3,19.7,3,"Personal Loan, Home Loan, Auto Loan",0,0,0.08,7,242075,0.74,16Y 9M,Yes,4994,10345,Medium,46340,Good
C000011,28,1187704,92365,4,3,12.7,5,"Credit Builder Loan, Education Loan, Personal Loan, Auto Loan, Home Loan",0,0,0.3,2,203275,0.52,5Y 5M,Yes,2210,0,Medium,47343,Good
C000012,28,1166015,96937,7,1,9.9,3,"Auto Loan, Personal Loan, Home Loan",18,1,0.55,4,107898,0.57,8Y 2M,No,1122,5918,Low,43156,Poor
C000013,41,1215219,110285,3,1,19.9,5,"Home Loan, Education Loan, Credit Builder Loan, Auto Loan, Personal Loan",24,1,0.15,6,261097,0.35,18Y 7M,No,5244,11439,Low,39522,Poor
C000014,53,482705,40488,10,3,21.4,3,"Business Loan, Personal Loan, Home Loan",0,0,0.22,0,139020,0.58,30Y 8M,Yes,3735,0,Medium,14933,Good
C000015,57,1235702,106821,3,3,23.0,0,None,0,0,0.16,5,134329,0.19,36Y 4M,No,2608,12296,Medium,58138,Good
C000016,41,208126,14979,4,4,21.1,5,"Credit Builder Loan, Education Loan, Home Loan, Auto Loan, Business Loan",0,0,0.87,7,75745,0.4,17Y 6M,Yes,2237,0,Medium,2294,Good
C000017,20,1323029,89123,10,1,12.6,4,"Business Loan, Personal Loan, Credit Builder Loan, Education Loan",29,3,0.42,7,200518,0.5,2Y 2M,No,5103,17336,Medium,37411,Poor
C000018,39,457402,35641,3,5,14.9,5,"Auto Loan, Home Loan, Business Loan, Personal Loan, Education Loan",0,0,0.72,0,47382,0.51,17Y 11M,Yes,805,2180,Medium,9778,Good
C000019,19,970959,87502,10,1,20.8,5,"Personal Loan, Home Loan, Auto Loan, Business Loan, Education Loan",9,5,0.59,7,228986,0.66,0Y 11M,Yes,5300,7316,Medium,23077,Poor
C000020,41,1484618,102263,8,4,16.2,0,None,0,0,0.61,4,88483,0.67,16Y 9M,Yes,2151,6482,Medium,61422,Good
C000021,61,1442253,103467,9,1,16.6,0,None,5,6,0.94,3,271425,0.67,39Y 9M,No,5840,8429,Low,23998,Poor
C000022,47,1124416,84042,5,0,23.9,4,"Personal Loan, Education Loan, Credit Builder Loan, Home Loan",0,0,0.34,6,362587,0.83,28Y 2M,Yes,10775,12815,Medium,17193,Good
C000023,55,612342,44911,3,6,24.2,2,"Personal Loan, Credit Builder Loan",14,1,0.27,0,61465,0.57,34Y 9M,No,1261,2799,Low,26904,Poor
C000024,19,293404,21142,7,2,20.5,2,"Auto Loan, Personal Loan",12,1,0.44,6,30623,0.69,0Y 0M,Yes,690,2884,Medium,5179,Poor
C000025,38,386346,27769,3,0,21.4,4,"Credit Builder Loan, Home Loan, Auto Loan, Personal Loan",0,0,0.45,3,72940,0.16,19Y 9M,Yes,1170,1470,High,9049,Good
C000026,50,470276,34661,6,6,11.0,5,"Credit Builder Loan, Auto Loan, Business Loan, Education Loan, Personal Loan",27,6,0.9,4,134156,0.65,25Y 8M,No,3817,4972,Low,4395,Poor
C000027,29,638859,55859,11,5,17.3,0,None,25,3,0.86,0,36001,0.28,10Y 10M,Yes,1064,0,Medium,16526,Standard
C000028,39,1164530,106399,4,1,15.1,4,"Personal Loan, Business Loan, Auto Loan, Credit Builder Loan",0,0,0.42,1,128954,0.51,18Y 10M,Yes,1789,14639,High,37941,Good
C000029,61,1319549,108756,7,4,6.8,2,"Personal Loan, Home Loan",0,0,0.78,4,234486,0.62,37Y 9M,Yes,6082,14674,High,14056,Good
C000030,42,775921,55119,6,3,22.8,4,"Auto Loan, Home Loan, Personal Loan, Credit Builder Loan",0,0,0.49,2,108644,0.3,23Y 6M,Yes,2939,0,High,20053,Good
C000031,66,885268,59220,7,1,11.6,4,"Personal Loan, Home Loan, Auto Loan, Credit Builder Loan",17,2,0.86,4,160405,0.49,41Y 3M,Yes,3491,6053,Medium,10781,Standard
C000032,44,465308,41167,4,3,23.7,5,"Credit Builder Loan, Personal Loan, Auto Loan, Business Loan, Education Loan",0,0,0.16,5,83942,0.5,24Y 6M,Yes,1917,7149,Medium,10529,Standard
C000033,59,1167900,85616,11,7,18.1,2,"Education Loan, Credit Builder Loan",28,4,0.96,2,161058,0.67,37Y 8M,Yes,2579,0,Low,47606,Poor
C000034,45,300423,21052,6,7,21.4,3,"Auto Loan, Personal Loan, Credit Builder Loan",20,1,0.25,6,76800,0.85,22Y 9M,Yes,2215,3582,Medium,8516,Poor
C000035,33,376935,28075,10,2,14.7,4,"Auto Loan, Business Loan, Personal Loan, Education Loan",0,0,0.3,7,40992,0.52,9Y 9M,Yes,1067,0,Medium,14935,Standard
